t	y	vy
0.000000e+00	1.000000e+01	0.000000e+00
1.000000e-01	9.902000e+00	-9.800000e-01
2.000000e-01	9.706000e+00	-1.960000e+00
3.000000e-01	9.412000e+00	-2.940000e+00
4.000000e-01	9.020000e+00	-3.920000e+00
5.000000e-01	8.530000e+00	-4.900000e+00
6.000000e-01	7.942000e+00	-5.880000e+00
7.000000e-01	7.256000e+00	-6.860000e+00
8.000000e-01	6.472000e+00	-7.840000e+00
9.000000e-01	5.590000e+00	-8.820000e+00
1.000000e+00	4.610000e+00	-9.800000e+00
1.100000e+00	3.532000e+00	-1.078000e+01
1.200000e+00	2.356000e+00	-1.176000e+01
1.300000e+00	1.082000e+00	-1.274000e+01
1.400000e+00	-2.900000e-01	-1.372000e+01
1.500000e+00	-1.760000e+00	-1.470000e+01
1.600000e+00	-3.328000e+00	-1.568000e+01
1.700000e+00	-4.994000e+00	-1.666000e+01
1.800000e+00	-6.758000e+00	-1.764000e+01
1.900000e+00	-8.620000e+00	-1.862000e+01
2.000000e+00	-1.058000e+01	-1.960000e+01
2.100000e+00	-1.263800e+01	-2.058000e+01
2.200000e+00	-1.479400e+01	-2.156000e+01
2.300000e+00	-1.704800e+01	-2.254000e+01
2.400000e+00	-1.940000e+01	-2.352000e+01
2.500000e+00	-2.185000e+01	-2.450000e+01
2.600000e+00	-2.439800e+01	-2.548000e+01
2.700000e+00	-2.704400e+01	-2.646000e+01
2.800000e+00	-2.978800e+01	-2.744000e+01
2.900000e+00	-3.263000e+01	-2.842000e+01
